2017-03-29 02:59:14,881  INFO [main] TestNG_FB_TestCase001:20 - Checking Method EmailPhone Text
2017-03-29 02:59:15,085  INFO [main] TestNG_FB_TestCase001:22 - Checking Password Text
2017-03-29 02:59:15,290  INFO [main] TestNG_FB_TestCase001:24 - Checking facebook Logo
2017-03-29 02:59:15,522  INFO [main] TestNG_FB_TestCase001:26 - Verifying TagLine in FaceBook
2017-03-29 02:59:37,187  INFO [main] TestNG_FB_TestCase001:20 - Checking Method EmailPhone Text
2017-03-29 02:59:37,329  INFO [main] TestNG_FB_TestCase001:22 - Checking Password Text
2017-03-29 02:59:37,463  INFO [main] TestNG_FB_TestCase001:24 - Checking facebook Logo
2017-03-29 02:59:37,688  INFO [main] TestNG_FB_TestCase001:26 - Verifying TagLine in FaceBook
 INFO 2017-03-29 03:02:00,238 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:20 - Checking Method EmailPhone Text
 INFO 2017-03-29 03:02:00,452 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:22 - Checking Password Text
 INFO 2017-03-29 03:02:00,654 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:24 - Checking facebook Logo
 INFO 2017-03-29 03:02:00,933 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:26 - Verifying TagLine in FaceBook
 INFO 2017-03-29 03:02:20,876 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:20 - Checking Method EmailPhone Text
 INFO 2017-03-29 03:02:21,044 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:22 - Checking Password Text
 INFO 2017-03-29 03:02:21,176 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:24 - Checking facebook Logo
 INFO 2017-03-29 03:02:21,416 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:26 - Verifying TagLine in FaceBook
 INFO 2017-03-29 03:08:21,541 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:24 - Checking Method EmailPhone Text
 INFO 2017-03-29 03:08:21,688 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:26 - Checking Password Text
 INFO 2017-03-29 03:08:21,822 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:28 - Checking facebook Logo
 INFO 2017-03-29 03:08:22,052 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:30 - Verifying TagLine in FaceBook
 INFO 2017-03-29 03:10:00,749 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:24 - Checking Method EmailPhone Text
 INFO 2017-03-29 03:10:00,891 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:26 - Checking Password Text
 INFO 2017-03-29 03:10:01,061 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:28 - Checking facebook Logo
 INFO 2017-03-29 03:10:01,298 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:30 - Verifying TagLine in FaceBook
 INFO 2017-03-29 03:13:09,806 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking Method EmailPhone Text
 INFO 2017-03-29 03:13:09,979 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Checking Password Text
 INFO 2017-03-29 03:13:10,115 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:29 - Checking facebook Logo
